score,layer_index,name
0.904,0,nsubj_Animacy
0.896,1,nsubj_Animacy
0.88,2,nsubj_Animacy
0.88,3,nsubj_Animacy
0.872,4,nsubj_Animacy
0.872,5,nsubj_Animacy
0.88,6,nsubj_Animacy
0.872,7,nsubj_Animacy
0.904,8,nsubj_Animacy
0.896,9,nsubj_Animacy
0.872,10,nsubj_Animacy
0.88,11,nsubj_Animacy
0.88,12,nsubj_Animacy
0.888,13,nsubj_Animacy
0.872,14,nsubj_Animacy
0.888,15,nsubj_Animacy
0.896,16,nsubj_Animacy
0.92,17,nsubj_Animacy
0.92,18,nsubj_Animacy
0.912,19,nsubj_Animacy
0.92,20,nsubj_Animacy
0.912,21,nsubj_Animacy
0.92,22,nsubj_Animacy
0.912,23,nsubj_Animacy
