score,layer_index,name
0.88,0,nsubj_Number
0.912,1,nsubj_Number
0.896,2,nsubj_Number
0.912,3,nsubj_Number
0.904,4,nsubj_Number
0.912,5,nsubj_Number
0.904,6,nsubj_Number
0.904,7,nsubj_Number
0.904,8,nsubj_Number
0.912,9,nsubj_Number
0.904,10,nsubj_Number
0.904,11,nsubj_Number
0.904,12,nsubj_Number
0.912,13,nsubj_Number
0.904,14,nsubj_Number
0.904,15,nsubj_Number
0.912,16,nsubj_Number
0.904,17,nsubj_Number
0.904,18,nsubj_Number
0.896,19,nsubj_Number
0.896,20,nsubj_Number
0.928,21,nsubj_Number
0.928,22,nsubj_Number
0.936,23,nsubj_Number
