score,layer_index,name
0.944,0,root_Aspect
0.952,1,root_Aspect
0.944,2,root_Aspect
0.944,3,root_Aspect
0.944,4,root_Aspect
0.944,5,root_Aspect
0.944,6,root_Aspect
0.944,7,root_Aspect
0.944,8,root_Aspect
0.944,9,root_Aspect
0.944,10,root_Aspect
0.944,11,root_Aspect
0.944,12,root_Aspect
0.944,13,root_Aspect
0.952,14,root_Aspect
0.952,15,root_Aspect
0.952,16,root_Aspect
0.952,17,root_Aspect
0.952,18,root_Aspect
0.952,19,root_Aspect
0.952,20,root_Aspect
0.952,21,root_Aspect
0.952,22,root_Aspect
0.952,23,root_Aspect
