score,layer_index,name
0.872,0,root_Number
0.912,1,root_Number
0.88,2,root_Number
0.864,3,root_Number
0.832,4,root_Number
0.848,5,root_Number
0.856,6,root_Number
0.864,7,root_Number
0.872,8,root_Number
0.888,9,root_Number
0.888,10,root_Number
0.896,11,root_Number
0.904,12,root_Number
0.896,13,root_Number
0.904,14,root_Number
0.904,15,root_Number
0.896,16,root_Number
0.896,17,root_Number
0.904,18,root_Number
0.92,19,root_Number
0.928,20,root_Number
0.944,21,root_Number
0.936,22,root_Number
0.936,23,root_Number
